date,revenue,spread,max_price
2024-02-07,3.7392064583333338,99.61833333333334,95.93
2024-02-08,23.434459561403507,245.93333333333334,274.9216666666667
2024-02-09,3.294756458333335,72.18333333333332,102.40499999999999
2024-02-10,7.951227349953832,143.965,100.63166666666666
2024-02-11,19.033897900507853,216.94000000000003,184.07833333333335
2024-02-12,34.89017421052632,300.98499999999996,317.3566666666666
2024-02-13,33.72518047206833,263.9383333333334,273.15833333333336
2024-02-14,15.431312253000925,204.25166666666667,248.785
2024-02-15,7.749560833333336,126.79166666666666,150.68833333333333
2024-02-16,3.7413533333333335,65.90333333333332,107.58666666666666
2024-02-17,14.722961745152357,178.88666666666668,179.51166666666668
2024-02-18,18.278727500000002,221.31333333333336,216.34500000000003
2024-02-19,3.713724583333337,102.46500000000002,129.14000000000001
2024-02-20,22.59936420129271,403.9833333333334,415.85666666666674
2024-02-21,20.976365350877202,253.055,276.29833333333335
2024-02-22,57.74904559210526,474.53499999999997,463.3883333333333
2024-02-23,273.70918854166666,2609.563333333333,2460.12
2024-02-24,4.754299416551249,126.09666666666666,115.99666666666667
2024-02-25,9.831866548938136,157.965,119.93666666666667
2024-02-26,105.31243633425667,1793.1566666666665,1676.0116666666665
2024-02-27,14.509377285318557,158.98166666666665,212.17333333333332
2024-02-28,25.14226394736842,284.70833333333337,321.01500000000004
2024-02-29,1593.7175553179825,13292.095,13325.676666666666
2024-03-01,15.448790625000004,200.48833333333334,229.70833333333334
2024-03-02,10.198711304824565,114.46833333333333,152.87833333333333
2024-03-03,3.2150337500000026,108.31333333333332,128.73333333333332
2024-03-04,4.889892717566943,107.84833333333333,123.445
2024-03-05,11.079346431209604,168.95666666666668,162.52
2024-03-06,6.493735191020314,140.88833333333335,172.84833333333336
2024-03-07,6.766911330794092,119.40833333333333,124.33333333333333
2024-03-08,29.64286236842105,259.565,299.985
2024-03-09,32.597415392428445,308.315,292.29
2024-03-10,37.43960045706372,320.1,299.99
2024-03-11,24.449113903508774,275.7633333333333,296.31166666666667
2024-03-12,25.014525964912277,240.0583333333333,244.42166666666665
2024-03-13,14.074904626038776,182.67166666666668,244.23000000000002
2024-03-14,4.401592916666666,122.69666666666667,142.405
2024-03-15,14.163945503808868,261.48,256.62
2024-03-16,15.340640095221609,174.32333333333332,138.355
2024-03-17,8.129905484764542,176.53166666666664,153.79666666666665
2024-03-18,3.166864166666669,98.26666666666668,127.72000000000001
2024-03-19,3.5536666666666665,112.51,128.155
2024-03-20,4.090245208333335,137.4066666666667,132.26500000000001
2024-03-21,9.797379575253924,166.27833333333334,121.14
2024-03-22,3.8301810416666666,101.72333333333333,114.30499999999999
2024-03-23,9.070873259464452,157.6783333333333,147.04
2024-03-24,7.14231460584026,176.52666666666667,128.135
2024-03-25,7.988791938481073,188.87166666666667,144.03833333333333
2024-03-26,35.02933437673129,260.955,281.0933333333333
2024-03-27,13.21556963815789,160.38333333333333,176.355
2024-03-28,4.611444166666668,128.29833333333332,115.58833333333332
2024-03-29,15.084692499999997,159.94166666666666,133.535
2024-03-30,21.994791929824565,175.885,130.87833333333333
2024-03-31,19.030426809787627,164.26333333333332,140.00333333333333
2024-04-01,2.62751,141.35,118.56666666666666
2024-04-02,11.538025634810714,128.78,110.50333333333333
2024-04-03,22.882381228070173,248.63166666666666,267.76
2024-04-04,5.414618958333334,58.36333333333332,97.90333333333332
2024-04-05,9.475157266851335,113.64499999999998,164.82
2024-04-06,4.501991975992613,130.695,144.89833333333334
2024-04-07,17.63713657894737,174.56,153.61
2024-04-08,18.82850664589104,170.66,183.26166666666666
2024-04-09,20.98016541089566,206.60833333333332,172.04833333333332
2024-04-10,17.63592087719298,153.08,151.49166666666667
2024-04-11,40.9461784810711,309.485,270.81666666666666
2024-04-12,25.08748175438597,240.46999999999997,215.4433333333333
2024-04-13,36.17303270083103,298.48333333333335,292.44666666666666
2024-04-14,48.37601181094183,334.9200000000001,294.39000000000004
2024-04-15,62.16523272218376,305.35,305.40500000000003
2024-04-16,58.03511876731301,265.785,305.365
2024-04-17,18.83877078485687,160.96499999999997,234.38833333333332
2024-04-18,30.003256743421055,207.33333333333331,234.04833333333332
